Name;Prefix;Type;SSIS2012;SSIS2012VS2015;SSIS2014;SSIS2016
ADO NET Destination;ADO_DST;Destination;Microsoft.SqlServer.Dts.Pipeline.ADONETDestination, Microsoft.SqlServer.ADONETDest, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.ADONETDestination;Microsoft.ADONETDestination;Microsoft.ADONETDestination
ADO NET Source;ADO_SRC;Source;Microsoft.SqlServer.Dts.Pipeline.DataReaderSourceAdapter, Microsoft.SqlServer.ADONETSrc, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Pipeline.DataReaderSourceAdapter, Microsoft.SqlServer.ADONETSrc, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DataReaderSourceAdapter;Microsoft.DataReaderSourceAdapter
Aggregate;AGG;Transformation;{5B201335-B360-485C-BB93-75C34E09B3D3};DTSTransform.Aggregate.3;Microsoft.Aggregate;Microsoft.Aggregate
Analysis Services Execute DDL Task;ASE;Task;Microsoft.DataTransformationServices.Tasks.DTSProcessingTask.ASExecuteDDLTask, Microsoft.SqlServer.ASTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DataTransformationServices.Tasks.DTSProcessingTask.ASExecuteDDLTask, Microsoft.SqlServer.ASTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.ASExecuteDDLTask;Microsoft.ASExecuteDDLTask
Analysis Services Processing Task;ASP;Task;Microsoft.DataTransformationServices.Tasks.DTSProcessingTask.DTSProcessingTask, Microsoft.SqlServer.ASTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DataTransformationServices.Tasks.DTSProcessingTask.DTSProcessingTask, Microsoft.SqlServer.ASTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DTSProcessingTask;Microsoft.DTSProcessingTask
Audit;AUD;Transformation;{4FCE8297-9C65-40A9-9D60-00C5CC6BC283};DTSTransform.Lineage.3;Microsoft.Lineage;Microsoft.Lineage
Azure Blob Destination;AB_DST;Destination;Microsoft.SqlServer.IntegrationService.CloudComponents.Destination.AzBlobDest, Microsoft.SqlServer.IntegrationService.CloudComponents, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudComponents.Destination.AzBlobDest, Microsoft.SqlServer.IntegrationService.CloudComponents, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudComponents.Destination.AzBlobDest, Microsoft.SqlServer.IntegrationService.CloudComponents, Version=12.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;AzBlobDest
Azure Blob Download Task;ADT;Task;Microsoft.SqlServer.IntegrationService.CloudTasks.CopyTasks.CopyFromBlobTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudTasks.CopyTasks.CopyFromBlobTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudTasks.CopyTasks.CopyFromBlobTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=12.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;CopyFromBlobTask
Azure Blob Source;AB_SRC;Source;Microsoft.SqlServer.IntegrationService.CloudComponents.Source.AzBlobSrc, Microsoft.SqlServer.IntegrationService.CloudComponents, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudComponents.Source.AzBlobSrc, Microsoft.SqlServer.IntegrationService.CloudComponents, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudComponents.Source.AzBlobSrc, Microsoft.SqlServer.IntegrationService.CloudComponents, Version=12.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;AzBlobSrc
Azure Blob Upload Task;AUT;Task;Microsoft.SqlServer.IntegrationService.CloudTasks.CopyTasks.CopyToBlobTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudTasks.CopyTasks.CopyToBlobTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudTasks.CopyTasks.CopyToBlobTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=12.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;CopyToBlobTask
Azure HDInsight Create Cluster Task;ACCT;Task;Microsoft.SqlServer.IntegrationService.CloudTasks.HdiMgmtTasks.CreateHdiClusterTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudTasks.HdiMgmtTasks.CreateHdiClusterTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudTasks.HdiMgmtTasks.CreateHdiClusterTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=12.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;CreateHdiClusterTask
Azure HDInsight Delete Cluster Task;ACDT;Task;Microsoft.SqlServer.IntegrationService.CloudTasks.HdiMgmtTasks.DeleteHdiClusterTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudTasks.HdiMgmtTasks.DeleteHdiClusterTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudTasks.HdiMgmtTasks.DeleteHdiClusterTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=12.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;DeleteHdiClusterTask
Azure HDInsight Hive Task;AHT;Task;Microsoft.SqlServer.IntegrationService.CloudTasks.HdiTasks.HiveTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudTasks.HdiTasks.HiveTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudTasks.HdiTasks.HiveTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=12.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;HiveTask
Azure HDInsight Pig Task;APT;Task;Microsoft.SqlServer.IntegrationService.CloudTasks.HdiTasks.PigTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudTasks.HdiTasks.PigTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=11.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;Microsoft.SqlServer.IntegrationService.CloudTasks.HdiTasks.PigTask, Microsoft.SqlServer.IntegrationService.CloudTasks, Version=12.1.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35;PigTask
Back Up Database Task;BACKUP;Task;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceBackupTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Management.DatabaseMaintenance.DbMaintenanceBackupTask, Microsoft.SqlServer.MaintenancePlanTasks, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.DbMaintenanceBackupTask;Microsoft.DbMaintenanceBackupTask
Balanced Data Distributor;BDD;Transformation;{F06C606C-5980-460C-B2AF-B0ECA031B7A4};DTSTransform.BalancedDataDistributor.2;Microsoft.BDD;Microsoft.BDD
Bulk Insert Task;BLK;Task;Microsoft.SqlServer.Dts.Tasks.BulkInsertTask.BulkInsertTask, Microsoft.SqlServer.BulkInsertTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.SqlServer.Dts.Tasks.BulkInsertTask.BulkInsertTask, Microsoft.SqlServer.BulkInsertTask, Version=11.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91;Microsoft.BulkInsertTask;Microsoft.BulkInsertTask
Cache Transform;CCH;Transformation;{BF818E79-2C1C-410D-ADEA-B2D1A04FED01};DTSTransform.Cache.2;Microsoft.Cache;Microsoft.Cache
CDC Control Task;CDC;Task;Attunity.SqlServer.CDCControlTask.CdcControlTask, Attunity.SqlServer.CDCControlTask, Version=1.0.0.0, Culture=neutral, PublicKeyToken=aa342389a732e31c;Attunity.SqlServer.CDCControlTask.CdcControlTask, Attunity.SqlServer.CDCControlTask, Version=1.0.0.0, Culture=neutral, PublicKeyToken=aa342389a732e31c;Attunity.CdcControlTask;Attunity.CdcControlTask
CDC Source;CDC_SRC;Source;Attunity.SqlServer.CDCSrc.CdcSourceComponent, Attunity.SqlServer.CDCSrc, Version=1.0.0.0, Culture=neutral, PublicKeyToken=aa342389a732e31c;Attunity.SqlServer.CDCSrc.CdcSourceComponent, Attunity.SqlServer.CDCSrc, Version=1.0.0.0, Culture=neutral, PublicKeyToken=aa342389a732e31c;Attunity.CdcSourceComponent;Attunity.CdcSourceComponent
